
=== PC=0 DETECTED at cycle 4598119562 ===
core_st=0 next_st=1 mmu_st=0 bus_addr=0x80780660
fe_instr=0x00008067

--- Register file ---
  x0  = 0x00000000  x1  = 0x00000000  x2  = 0xc1c81ad0  x3  = 0xc1909498
  x4  = 0xc1c8a440  x5  = 0x74b96130  x6  = 0x00000e38  x7  = 0x000000c1
  x8  = 0x00000000  x9  = 0x00000000  x10 = 0x0000000e  x11 = 0x001fca60
  x12 = 0x00000ff0  x13 = 0xc1c9701e  x14 = 0x00000ff0  x15 = 0x00040000
  x16 = 0xc1c09d80  x17 = 0x00000cc0  x18 = 0x00000000  x19 = 0xc157b4e8
  x20 = 0x00000000  x21 = 0xc0233a88  x22 = 0x00000000  x23 = 0x00000002
  x24 = 0x0000003a  x25 = 0x0024b148  x26 = 0x00000000  x27 = 0x00000000
  x28 = 0x0000ff00  x29 = 0x00000e38  x30 = 0x00ff0000  x31 = 0x00000e39

  [4598097781] pc=0xc0355f04 st=6 next=0 instr=0x00dec6b3 bus=0x80755f04 ra=0xc035501c
  [4598097786] pc=0xc0355f08 st=6 next=0 instr=0x0086dd93 bus=0x80755f08 ra=0xc035501c
  [4598097791] pc=0xc0355f0c st=6 next=0 instr=0x01869693 bus=0x80755f0c ra=0xc035501c
  [4598097796] pc=0xc0355f10 st=6 next=0 instr=0x01b686b3 bus=0x80755f10 ra=0xc035501c
  [4598097801] pc=0xc0355f14 st=6 next=0 instr=0x00dd0d33 bus=0x80755f14 ra=0xc035501c
  [4598097806] pc=0xc0355f18 st=6 next=0 instr=0x00bd45b3 bus=0x80755f18 ra=0xc035501c
  [4598097811] pc=0xc0355f1c st=6 next=0 instr=0x0075dd93 bus=0x80755f1c ra=0xc035501c
  [4598097816] pc=0xc0355f20 st=6 next=0 instr=0x01959593 bus=0x80755f20 ra=0xc035501c
  [4598097821] pc=0xc0355f24 st=6 next=0 instr=0x01b585b3 bus=0x80755f24 ra=0xc035501c
  [4598097826] pc=0xc0355f28 st=6 next=0 instr=0x00755d93 bus=0x80755f28 ra=0xc035501c
  [4598097831] pc=0xc0355f2c st=6 next=0 instr=0x01951513 bus=0x80755f2c ra=0xc035501c
  [4598097836] pc=0xc0355f30 st=6 next=0 instr=0x01b50533 bus=0x80755f30 ra=0xc035501c
  [4598097841] pc=0xc0355f34 st=6 next=0 instr=0x01c90e33 bus=0x80755f34 ra=0xc035501c
  [4598097846] pc=0xc0355f38 st=6 next=0 instr=0x00865d93 bus=0x80755f38 ra=0xc035501c
  [4598097851] pc=0xc0355f3c st=6 next=0 instr=0x01861613 bus=0x80755f3c ra=0xc035501c
  [4598097856] pc=0xc0355f40 st=6 next=0 instr=0x01b60633 bus=0x80755f40 ra=0xc035501c
  [4598097861] pc=0xc0355f44 st=6 next=0 instr=0x00ae0e33 bus=0x80755f44 ra=0xc035501c
  [4598097866] pc=0xc0355f48 st=6 next=0 instr=0x00cf8fb3 bus=0x80755f48 ra=0xc035501c
  [4598097871] pc=0xc0355f4c st=6 next=0 instr=0x00ce4633 bus=0x80755f4c ra=0xc035501c
  [4598097876] pc=0xc0355f50 st=6 next=0 instr=0x01065d93 bus=0x80755f50 ra=0xc035501c
  [4598097881] pc=0xc0355f54 st=6 next=0 instr=0x01061613 bus=0x80755f54 ra=0xc035501c
  [4598097886] pc=0xc0355f58 st=6 next=0 instr=0x01b60633 bus=0x80755f58 ra=0xc035501c
  [4598097891] pc=0xc0355f5c st=6 next=0 instr=0x0103c833 bus=0x80755f5c ra=0xc035501c
  [4598097896] pc=0xc0355f60 st=6 next=0 instr=0x00c383b3 bus=0x80755f60 ra=0xc035501c
  [4598097901] pc=0xc0355f64 st=6 next=0 instr=0x00a3c533 bus=0x80755f64 ra=0xc035501c
  [4598097906] pc=0xc0355f68 st=6 next=0 instr=0x00c55d93 bus=0x80755f68 ra=0xc035501c
